,bType,pType,ranges,PA,AB,H,BB,1B,2B,3B,HR,R,K,SF,DP,Adv 2nd,SA,SB,AVG,OBP,ER6,,,,,
67,All,BB,OLD,409359,371622,97656,34364,49306,22411,4099,21840,53819,74312,3373,8534,3993,37078,23252,0.262783151,0.322504208,3.22914,,,3.257,3.224,3.243
94,All,BB,OLD,409345,371509,97943,34441,49431,22541,3977,21994,54195,74323,3395,8664,3942,37232,23213,0.263635605,0.323404463,3.2517,,-,-,-,-
121,All,BB,OLD,409739,371739,98068,34711,49400,22612,4094,21962,54278,74431,3289,8600,3907,37291,23195,0.263808748,0.32405751,3.25668,,-,-,-,-
150,All,BF,NEW,409787,372908,100778,33605,52006,22801,3984,21987,54654,64151,3274,10259,4812,38135,23798,0.270248962,0.32793378,3.27924,,New,High,Low,Avg
177,All,BF,NEW,409018,372201,99875,33584,51627,22452,4005,21791,54100,63701,3233,10217,4808,37765,23541,0.268336195,0.326291263,3.246,,,3.279,3.240,3.260
204,All,BF,NEW,409502,372901,100412,33334,51686,22700,4001,22025,54582,63991,3267,10232,4862,37652,23640,0.269272542,0.326606463,3.27492,,,,,
231,All,BF,NEW,409327,372416,100030,33761,51584,22481,4116,21849,54350,64116,3150,10154,4791,37863,23553,0.268597482,0.326856034,3.261,,Diffs,0.002,0.008,0.008
258,All,BF,NEW,408705,372132,99870,33413,51780,22283,4080,21727,53997,64038,3160,10445,4652,38051,23918,0.268372513,0.32611052,3.23982,,,,,
15,All,BF,OLD,410095,373036,100683,33901,52004,22500,4099,22080,54667,65447,3158,9983,4286,37516,23429,0.269901564,0.328177617,3.28002,,,,,
42,All,BF,OLD,409177,372662,100184,33333,51653,22482,4095,21954,54138,64906,3182,9827,4317,37255,23119,0.26883342,0.32630622,3.24828,,Old,High,Low,Avg
69,All,BF,OLD,409883,373034,100410,33776,51818,22467,4029,22096,54691,65218,3073,9977,4306,37357,23441,0.269171175,0.327376349,3.28146,,,3.281,3.248,3.269
96,All,BF,OLD,409999,373114,100589,33761,52106,22469,4103,21911,54687,65104,3124,9923,4244,37577,23500,0.269593207,0.327683726,3.28122,,-,-,-,-
123,All,BF,OLD,409587,373198,100401,33364,51850,22730,3904,21917,54202,65710,3025,9989,4304,37266,23435,0.269028773,0.326585072,3.25212,,-,-,-,-
149,All,BS,NEW,410323,372069,97586,34666,48506,24109,4822,20149,53303,89048,3588,7986,4991,37405,23462,0.262279308,0.322311935,3.19818,,New,High,Low,Avg
176,All,BS,NEW,411149,373258,98681,34416,48601,24527,4933,20620,54397,88550,3475,7817,4866,37738,23607,0.264377455,0.323719625,3.26382,,,3.264,3.198,3.228
203,All,BS,NEW,410628,373070,98483,34107,48931,24082,4796,20674,53978,88765,3451,7881,4777,37577,23496,0.26397995,0.322895662,3.23868,,,,,
230,All,BS,NEW,410406,372904,98460,34052,48972,24097,4960,20431,53691,88418,3450,7919,4723,37633,23446,0.264035784,0.32288027,3.22146,,Diffs,0.025,0.001,0.007
257,All,BS,NEW,410568,372551,98055,34458,48626,24371,4792,20266,53612,88759,3559,7942,4929,37352,23349,0.263198864,0.322755305,3.21672,,,,,
14,All,BS,OLD,410829,372985,98206,34335,48629,24297,4889,20391,53762,88940,3509,7611,3498,36550,22739,0.263297452,0.322618413,3.22572,,,,,
41,All,BS,OLD,410871,372731,98391,34619,48878,24276,4761,20476,53975,88853,3521,7677,3481,37210,23037,0.263973214,0.323726912,3.2385,,Old,High,Low,Avg
68,All,BS,OLD,411205,373422,98648,34307,49297,24133,5016,20202,53843,88668,3476,7630,3497,37208,23389,0.264172973,0.323330212,3.23058,,,3.238,3.200,3.221
95,All,BS,OLD,410483,372467,97745,34520,48619,23987,4873,20266,53327,88952,3496,7667,3461,36837,23003,0.262425933,0.322217972,3.19962,,-,-,-,-
122,All,BS,OLD,410436,372315,97683,34651,48636,23972,4830,20245,53476,88813,3470,7728,3472,36664,22772,0.262366544,0.322422984,3.20856,,-,-,-,-
155,All,EG,NEW,414376,378860,107200,32340,47414,35200,6686,17900,56645,47672,3176,12235,4563,34086,21157,0.282954126,0.336747302,3.3987,,New,High,Low,Avg
182,All,EG,NEW,415832,380058,108226,32558,47995,35470,6658,18103,57713,47690,3216,12176,4590,34312,21536,0.2847618,0.338559803,3.46278,,,3.463,3.387,3.415
209,All,EG,NEW,415013,379227,107814,32489,47870,35307,6704,17933,57004,47452,3297,12400,4533,34191,21301,0.284299377,0.338068928,3.42024,,,,,
236,All,EG,NEW,414155,379004,107055,32032,47393,34879,6698,18085,56442,47368,3119,12215,4495,33998,21281,0.282464037,0.335833203,3.38652,,Diffs,0.042,0.004,0.009
263,All,EG,NEW,414512,378979,107074,32370,47297,35268,6501,18008,56762,47619,3163,12120,4555,34028,21216,0.282532805,0.336405219,3.40572,,,,,
20,All,EG,OLD,413935,378677,107167,32274,47511,34880,6599,18177,57020,47222,2984,12156,7247,33764,20918,0.283003721,0.336866899,3.4212,,,,,
47,All,EG,OLD,414056,378637,107240,32397,47613,35171,6445,18011,56664,46695,3022,12392,7299,33673,20943,0.283226415,0.337241822,3.39984,,Old,High,Low,Avg
74,All,EG,OLD,414243,378758,107250,32415,47515,35179,6545,18011,56908,47426,3070,12207,7345,33805,21044,0.283162336,0.337157176,3.41448,,,3.421,3.382,3.405
101,All,EG,OLD,414612,379140,107676,32434,47827,35163,6599,18087,56824,47023,3038,12324,7298,33544,20885,0.284000633,0.337930402,3.40944,,-,-,-,-
128,All,EG,OLD,414148,378774,107008,32358,47217,35322,6569,17900,56370,47008,3016,12266,7308,33360,20884,0.282511471,0.336512551,3.3822,,-,-,-,-
157,All,EN,NEW,402611,369372,90743,29696,31780,22182,14403,22378,53681,64528,3543,7216,3494,28312,17700,0.245668324,0.299144832,3.22086,,New,High,Low,Avg
184,All,EN,NEW,402111,368942,90451,29625,31790,21927,14290,22444,53616,64883,3544,7208,3455,28449,17692,0.245163196,0.298614064,3.21696,,,3.229,3.217,3.221
